"nautical"|"port_destination"|"port_origin"|"code_origin"|"code_destination"|"lat_origin"|"long_origin"|"lat_dest"|"long_dest"|"name_origin"|"name_dest"
243|"55596cb8-7e4e-4b06-b557-bee57775e70a"|"6a01e7c5-05e6-4ab7-a706-f0936f32a837"|"893"|"921"|"5.0725"|"119.222"|-5.45506|"122.61"|Makassar|Bau-Bau/Murhum
263|d7f680b0-bee8-411a-adc5-aa56eabf72db|"4a1be77c-4d5b-4c03-9186-c49c9049424d"|"925"|"971"|None|None|-0.8822873|"131.25055"|Babang|Sorong
634|d7f680b0-bee8-411a-adc5-aa56eabf72db|"55596cb8-7e4e-4b06-b557-bee57775e70a"|"921"|"971"|-5.45506|"122.61"|-0.8822873|"131.25055"|Bau-Bau/Murhum|Sorong
407|b2811ee3-48f4-41a3-b82a-bcd88ef3233c|"55596cb8-7e4e-4b06-b557-bee57775e70a"|"921"|"946"|-5.45506|"122.61"|-3.6942|"128.177"|Bau-Bau/Murhum|Ambon
91|bd5d57a7-3fec-4c5f-97b2-5d9c448625e0|"0467b2dd-8e24-4a3d-877f-0aa08e25ce95"|"808"|"809"|"117.59746"|"3.3301706"|"117.92812"|"4.255559"|Tarakan|Nunukan/Tunon Taka
265|c04466cf-3aa8-41a0-8394-552373a24b41|d9545117-0c0d-4757-a620-f92c2885f997|"747"|"494"|"111.915886"|-2.6103978|-175.8223|"30.790016"|Kumai|Tanjung Emas
300|"25bbc269-e619-47e4-ad47-7c90cb898da8"|"3349ad05-b76a-47d2-ae53-83e0b2b457ab"|"891"|"898"|None|None|||Awerange/Barru|Lhok Tuan
288|"55c79ac1-55fa-4726-b3f8-f3264fbb674d"|"6a01e7c5-05e6-4ab7-a706-f0936f32a837"|"893"|"683"|"5.0725"|"119.222"|-8.61983|"122.219"|Makassar|Maumere /Laurentius Say
432|c2f757c2-442b-4fce-9a53-4292baf0f776|bd5d57a7-3fec-4c5f-97b2-5d9c448625e0|"809"|"803"|"117.92812"|"4.255559"|-1.26835|"116.809"|Nunukan/Tunon Taka|Semayang
81|"9b6f2f2e-69aa-47e7-b1b4-0426b88406d2"|"55c79ac1-55fa-4726-b3f8-f3264fbb674d"|"683"|"687"|-8.61983|"122.219"|-8.341486|"122.987854"|Maumere /Laurentius Say|Larantuka
